csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	non_steady_state_outlier00	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
682.75275	0	491.64752	n/a	n/a	n/a	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.00017029	0	0
669.14166	0	489.4421	1.168398	17.575331	0.0721193	-0.450684672	0.119190914	-0.094588472	0.154202307	-0.230232464	0.083819424	-0.032426849	0.428432318	-0.58091583	0.138241401	-0.120348664	0.378366127	0	0	0.0207752	0.0463124	-0.000270924	0	0
665.3969	0	488.03	1.085204	16.323904	0.0348966	0.010819676	0.065189584	-0.095566322	-0.033148835	-0.476887111	0.206410886	0.281876846	0.430386376	0.413237149	-0.211523221	-0.003715491	0.106361801	0	0	0	0.0457372	0	0	0
662.82715	0	487.37302	1.01591	15.281561	0.0333937	0.332802289	-0.222096527	-0.091289144	0.232668813	0.279138129	-0.111878887	0.169016606	0.055048021	0.179874704	-0.253833026	0.164640363	0.395361389	0	0.010164	-0.0103568	0.0424513	0	0	0.00019174
